"Kod";"Nazwa";"ogółem;2021;[zł]";
1017000;"Powiat wieluński";1839398,92;
1018000;"Powiat wieruszowski";827262,38;
1019000;"Powiat zduńskowolski";2690953,43;
1020000;"Powiat zgierski";3870272,78;
1021000;"Powiat brzeziński";785087,95;
1201000;"Powiat bocheński";6229183,14;
1202000;"Powiat brzeski";4453285,44;
1203000;"Powiat chrzanowski";5254638,90;
1204000;"Powiat dąbrowski";2200034,11;
1205000;"Powiat gorlicki";2626584,87;
1206000;"Powiat krakowski";5741873,37;
1207000;"Powiat limanowski";5407057,47;
1208000;"Powiat miechowski";995573,24;
1209000;"Powiat myślenicki";3041432,42;
1210000;"Powiat nowosądecki";6416508,70;
1211000;"Powiat nowotarski";5655579,41;
1212000;"Powiat olkuski";3586441,11;
1213000;"Powiat oświęcimski";3782449,13;
1214000;"Powiat proszowicki";2984018,37;
1215000;"Powiat suski";2519494,81;
1216000;"Powiat tarnowski";188198,00;
1217000;"Powiat tatrzański";2259064,38;
1218000;"Powiat wadowicki";10467296,38;
1219000;"Powiat wielicki";3370665,14;
1401000;"Powiat białobrzeski";1141049,27;
1402000;"Powiat ciechanowski";2984108,06;
1403000;"Powiat garwoliński";4690205,27;
1404000;"Powiat gostyniński";3520856,26;
1405000;"Powiat grodziski";4694298,99;
1406000;"Powiat grójecki";5903300,00;
1407000;"Powiat kozienicki";4980431,42;
1408000;"Powiat legionowski";6180623,05;
1409000;"Powiat lipski";4380621,74;
1410000;"Powiat łosicki";776586,00;
1411000;"Powiat makowski";3175433,18;
1412000;"Powiat miński";6347626,91;
1413000;"Powiat mławski";1812005,65;
1414000;"Powiat nowodworski";7364090,80;
1415000;"Powiat ostrołęcki";4505406,09;
1416000;"Powiat ostrowski";4676956,86;
1417000;"Powiat otwocki";31308173,62;
1418000;"Powiat piaseczyński";3107379,24;
1419000;"Powiat płocki";3818077,09;
1420000;"Powiat płoński";3720993,45;
1421000;"Powiat pruszkowski";16804016,18;
1422000;"Powiat przasnyski";2579964,76;
1423000;"Powiat przysuski";3195181,95;
1424000;"Powiat pułtuski";2717537,07;
1425000;"Powiat radomski";43911388,02;
1426000;"Powiat siedlecki";13800,00;
1427000;"Powiat sierpecki";9533964,37;
1428000;"Powiat sochaczewski";6402254,54;
1429000;"Powiat sokołowski";2043050,96;
1430000;"Powiat szydłowiecki";4118612,76;
1432000;"Powiat warszawski zachodni";7439891,91;
1433000;"Powiat węgrowski";1855599,23;
1434000;"Powiat wołomiński";29373298,88;
1435000;"Powiat wyszkowski";3117103,48;
1436000;"Powiat zwoleński";4043199,85;
1437000;"Powiat żuromiński";2671717,74;
1438000;"Powiat żyrardowski";2834414,91;
1601000;"Powiat brzeski";4051584,16;
1602000;"Powiat głubczycki";2143737,91;
1603000;"Powiat kędzierzyńsko-kozielski";3670309,34;
1604000;"Powiat kluczborski";2750203,76;
1605000;"Powiat krapkowicki";2483825,82;
1606000;"Powiat namysłowski";4030064,32;
1607000;"Powiat nyski";6208961,80;
1608000;"Powiat oleski";1522569,34;
1609000;"Powiat opolski";365813,40;
1610000;"Powiat prudnicki";3227488,30;
1611000;"Powiat strzelecki";1477489,14;
1801000;"Powiat bieszczadzki";4079814,19;
1802000;"Powiat brzozowski";4287223,38;
1803000;"Powiat dębicki";2912950,86;
1804000;"Powiat jarosławski";8072054,08;
1805000;"Powiat jasielski";6968219,67;
1806000;"Powiat kolbuszowski";3283541,80;
1807000;"Powiat krośnieński";3299088,33;
1808000;"Powiat leżajski";3500028,20;
