"Kod";"Nazwa";"uczestnicy imprez;ogółem;2021;[osoba]";
3064000;"Powiat m.Poznań";194974;
3200000;"ZACHODNIOPOMORSKIE";794377;
3201000;"Powiat białogardzki";13890;
3202000;"Powiat choszczeński";14247;
3203000;"Powiat drawski";37576;
3204000;"Powiat goleniowski";41960;
3205000;"Powiat gryficki";21663;
3206000;"Powiat gryfiński";32640;
3207000;"Powiat kamieński";48414;
3208000;"Powiat kołobrzeski";72447;
3209000;"Powiat koszaliński";38511;
3210000;"Powiat myśliborski";34736;
3211000;"Powiat policki";29025;
3212000;"Powiat pyrzycki";26814;
3213000;"Powiat sławieński";17914;
3214000;"Powiat stargardzki";67131;
3215000;"Powiat szczecinecki";33048;
3216000;"Powiat świdwiński";38406;
3217000;"Powiat wałecki";20190;
3218000;"Powiat łobeski";19099;
3261000;"Powiat m.Koszalin";41640;
3262000;"Powiat m.Szczecin";58026;
3263000;"Powiat m.Świnoujście";87000;
