"Kod";"Nazwa";"wydatki na świadczenia wychowawcze;2021;[zł]";
3020000;"Powiat pleszewski";70219785;
3021000;"Powiat poznański";586623227;
3022000;"Powiat rawicki";70208747;
3023000;"Powiat słupecki";62868127;
3024000;"Powiat szamotulski";109665317;
3025000;"Powiat średzki";74658041;
3026000;"Powiat śremski";74654797;
3027000;"Powiat turecki";92146158;
3028000;"Powiat wągrowiecki";81922972;
3029000;"Powiat wolsztyński";71290541;
3030000;"Powiat wrzesiński";92103154;
3031000;"Powiat złotowski";72156120;
3061000;"Powiat m.Kalisz";91760415;
3062000;"Powiat m.Konin";62196037;
3063000;"Powiat m.Leszno";66308257;
3064000;"Powiat m.Poznań";530437873;
3201000;"Powiat białogardzki";44776100;
3202000;"Powiat choszczeński";43162495;
3203000;"Powiat drawski";52314762;
3204000;"Powiat goleniowski";87086905;
3205000;"Powiat gryficki";55429124;
3206000;"Powiat gryfiński";73441763;
3207000;"Powiat kamieński";39419312;
3208000;"Powiat kołobrzeski";71937863;
3209000;"Powiat koszaliński";66331453;
3210000;"Powiat myśliborski";60121453;
3211000;"Powiat policki";92393452;
3212000;"Powiat pyrzycki";36149723;
3213000;"Powiat sławieński";52923994;
3214000;"Powiat stargardzki";119371106;
3215000;"Powiat szczecinecki";69597843;
3216000;"Powiat świdwiński";41169409;
3217000;"Powiat wałecki";49409672;
3218000;"Powiat łobeski";31923052;
3261000;"Powiat m.Koszalin";102000773;
3262000;"Powiat m.Szczecin";370301980;
3263000;"Powiat m.Świnoujście";31453866;
