"Kod";"Nazwa";"ogółem;2021;[zł]";
1212000;"Powiat olkuski";49636357,07;
1213000;"Powiat oświęcimski";86877262,76;
1214000;"Powiat proszowicki";11350954,23;
1215000;"Powiat suski";43553760,97;
1216000;"Powiat tarnowski";48480351,73;
1217000;"Powiat tatrzański";22643789,01;
1218000;"Powiat wadowicki";86070470,13;
1219000;"Powiat wielicki";35887289,85;
1401000;"Powiat białobrzeski";12855180,80;
1402000;"Powiat ciechanowski";45256029,44;
1403000;"Powiat garwoliński";65970339,70;
1404000;"Powiat gostyniński";19004598,42;
1405000;"Powiat grodziski";39711340,89;
1406000;"Powiat grójecki";45406331,66;
1407000;"Powiat kozienicki";18796120,81;
1408000;"Powiat legionowski";29980741,43;
1409000;"Powiat lipski";18661609,50;
1410000;"Powiat łosicki";9894170,91;
1411000;"Powiat makowski";22393288,05;
1412000;"Powiat miński";77421961,53;
1413000;"Powiat mławski";38205708,64;
1414000;"Powiat nowodworski";20809954,39;
1415000;"Powiat ostrołęcki";16988005,61;
1416000;"Powiat ostrowski";32202859,90;
1417000;"Powiat otwocki";56908774,98;
1418000;"Powiat piaseczyński";88877136,11;
1419000;"Powiat płocki";24394692,45;
1420000;"Powiat płoński";57391031,44;
1421000;"Powiat pruszkowski";47975499,00;
1422000;"Powiat przasnyski";34560068,09;
1423000;"Powiat przysuski";28384303,45;
1424000;"Powiat pułtuski";22215781,34;
1425000;"Powiat radomski";32531674,39;
1426000;"Powiat siedlecki";6568282,72;
1427000;"Powiat sierpecki";25936628,36;
1428000;"Powiat sochaczewski";47966079,19;
1429000;"Powiat sokołowski";22028744,74;
1430000;"Powiat szydłowiecki";15550130,55;
1432000;"Powiat warszawski zachodni";36908927,75;
1433000;"Powiat węgrowski";41766066,91;
1434000;"Powiat wołomiński";65727636,35;
1435000;"Powiat wyszkowski";39986711,52;
1436000;"Powiat zwoleński";12118888,92;
1437000;"Powiat żuromiński";23531868,69;
1438000;"Powiat żyrardowski";30116851,50;
1601000;"Powiat brzeski";42482330,81;
1602000;"Powiat głubczycki";12424411,06;
1603000;"Powiat kędzierzyńsko-kozielski";49887598,36;
1604000;"Powiat kluczborski";32210956,34;
1605000;"Powiat krapkowicki";14596539,78;
1606000;"Powiat namysłowski";22037193,66;
1607000;"Powiat nyski";65422025,75;
1608000;"Powiat oleski";28956244,97;
1609000;"Powiat opolski";21197437,01;
1610000;"Powiat prudnicki";28525730,00;
1611000;"Powiat strzelecki";30195715,02;
1801000;"Powiat bieszczadzki";8977185,69;
1802000;"Powiat brzozowski";26184936,29;
1803000;"Powiat dębicki";69710159,33;
1804000;"Powiat jarosławski";70136550,07;
1805000;"Powiat jasielski";56845185,69;
1806000;"Powiat kolbuszowski";18081452,30;
1807000;"Powiat krośnieński";25654108,19;
1808000;"Powiat leżajski";44226633,85;
1809000;"Powiat lubaczowski";25139989,49;
1810000;"Powiat łańcucki";28699109,39;
1811000;"Powiat mielecki";73813667,69;
1812000;"Powiat niżański";27059099,18;
1813000;"Powiat przemyski";4534997,67;
1814000;"Powiat przeworski";21637004,76;
1815000;"Powiat ropczycko-sędziszowski";42491365,94;
1816000;"Powiat rzeszowski";30762843,00;
1817000;"Powiat sanocki";48054248,06;
1818000;"Powiat stalowowolski";55752692,88;
1819000;"Powiat strzyżowski";30394310,46;
1820000;"Powiat tarnobrzeski";16442065,77;
1821000;"Powiat leski";9585971,46;
2001000;"Powiat augustowski";25421438,01;
2002000;"Powiat białostocki";11162056,75;
2003000;"Powiat bielski";19735066,56;
2004000;"Powiat grajewski";26542469,71;
2005000;"Powiat hajnowski";12123421,27;
2006000;"Powiat kolneński";10423089,82;
2007000;"Powiat łomżyński";40097,86;
2008000;"Powiat moniecki";11048848,88;
2009000;"Powiat sejneński";5113341,13;
2010000;"Powiat siemiatycki";20260566,67;
2011000;"Powiat sokólski";28376174,88;
2012000;"Powiat suwalski";4687314,02;
2013000;"Powiat wysokomazowiecki";27525828,08;
2014000;"Powiat zambrowski";21818452,48;
2201000;"Powiat bytowski";40896382,58;
2202000;"Powiat chojnicki";75847604,18;
2203000;"Powiat człuchowski";34395383,22;
2204000;"Powiat gdański";26803783,54;
2205000;"Powiat kartuski";57014871,28;
2206000;"Powiat kościerski";39158526,93;
2207000;"Powiat kwidzyński";39587381,56;
2208000;"Powiat lęborski";32961931,97;
2209000;"Powiat malborski";40006607,28;
2210000;"Powiat nowodworski";13586294,80;
2211000;"Powiat pucki";27461671,51;
2212000;"Powiat słupski";16920868,27;
2213000;"Powiat starogardzki";68369287,96;
2214000;"Powiat tczewski";66699817,20;
2215000;"Powiat wejherowski";81311796,15;
2216000;"Powiat sztumski";18886700,38;
2401000;"Powiat będziński";43273505,88;
2402000;"Powiat bielski";27919937,78;
2403000;"Powiat cieszyński";66663921,60;
2404000;"Powiat częstochowski";12515296,58;
2405000;"Powiat gliwicki";30487882,28;
2406000;"Powiat kłobucki";25536097,37;
2407000;"Powiat lubliniecki";38575104,75;
2408000;"Powiat mikołowski";45039260,69;
2409000;"Powiat myszkowski";22925625,49;
2410000;"Powiat pszczyński";39565087,77;
2411000;"Powiat raciborski";52320845,85;
2412000;"Powiat rybnicki";14855772,76;
2413000;"Powiat tarnogórski";74305534,62;
2414000;"Powiat bieruńsko-lędziński";19293643,52;
2415000;"Powiat wodzisławski";73354439,55;
2416000;"Powiat zawierciański";50726938,19;
2417000;"Powiat żywiecki";90485557,02;
2601000;"Powiat buski";33180774,90;
2602000;"Powiat jędrzejowski";38758118,17;
2603000;"Powiat kazimierski";20480570,64;
2604000;"Powiat kielecki";25315634,88;
2605000;"Powiat konecki";40118468,83;
2606000;"Powiat opatowski";26896651,13;
2607000;"Powiat ostrowiecki";64445637,36;
2608000;"Powiat pińczowski";19490761,04;
2609000;"Powiat sandomierski";35497874,67;
2610000;"Powiat skarżyski";45270008,85;
2611000;"Powiat starachowicki";47799774,56;
2612000;"Powiat staszowski";33911024,12;
2613000;"Powiat włoszczowski";21451738,51;
2801000;"Powiat bartoszycki";28664318,82;
2802000;"Powiat braniewski";17529799,69;
2803000;"Powiat działdowski";32219280,20;
2804000;"Powiat elbląski";15485957,14;
2805000;"Powiat ełcki";66581266,22;
2806000;"Powiat giżycki";34258634,81;
2807000;"Powiat iławski";51782440,72;
2808000;"Powiat kętrzyński";29354601,43;
2809000;"Powiat lidzbarski";19599436,80;
2810000;"Powiat mrągowski";22212531,08;
2811000;"Powiat nidzicki";21481850,13;
2812000;"Powiat nowomiejski";16783505,68;
2813000;"Powiat olecki";26806835,35;
2814000;"Powiat olsztyński";28173862,83;
2815000;"Powiat ostródzki";59182155,48;
2816000;"Powiat piski";26941610,77;
2817000;"Powiat szczycieński";31529687,98;
2818000;"Powiat gołdapski";15302943,89;
2819000;"Powiat węgorzewski";12185658,03;
3001000;"Powiat chodzieski";22010525,04;
3002000;"Powiat czarnkowsko-trzcianecki";40846734,94;
3003000;"Powiat gnieźnieński";79630863,99;
3004000;"Powiat gostyński";31155977,01;
3005000;"Powiat grodziski";19229775,30;
3006000;"Powiat jarociński";41423752,26;
3007000;"Powiat kaliski";15944456,44;
3008000;"Powiat kępiński";29621217,44;
3009000;"Powiat kolski";40837522,90;
3010000;"Powiat koniński";22400948,99;
3011000;"Powiat kościański";28980051,78;
3012000;"Powiat krotoszyński";43010981,05;
3013000;"Powiat leszczyński";8844186,94;
3014000;"Powiat międzychodzki";13884818,14;
3015000;"Powiat nowotomyski";31433434,80;
3016000;"Powiat obornicki";24813787,10;
3017000;"Powiat ostrowski";89415985,77;
3018000;"Powiat ostrzeszowski";27132169,90;
3019000;"Powiat pilski";76036195,49;
3020000;"Powiat pleszewski";25986242,85;
3021000;"Powiat poznański";81995548,45;
3022000;"Powiat rawicki";24878219,24;
3023000;"Powiat słupecki";28343384,61;
3024000;"Powiat szamotulski";34628805,55;
