"Kod";"Nazwa";"ogółem;2021;[osoba]";
2609000;"Powiat sandomierski";105;
2610000;"Powiat skarżyski";107;
2611000;"Powiat starachowicki";107;
2612000;"Powiat staszowski";102;
2613000;"Powiat włoszczowski";100;
2661000;"Powiat m.Kielce";114;
2800000;"WARMIŃSKO-MAZURSKIE";105;
2801000;"Powiat bartoszycki";104;
2802000;"Powiat braniewski";100;
2803000;"Powiat działdowski";103;
2804000;"Powiat elbląski";100;
2805000;"Powiat ełcki";104;
2806000;"Powiat giżycki";105;
2807000;"Powiat iławski";102;
2808000;"Powiat kętrzyński";105;
2809000;"Powiat lidzbarski";104;
2810000;"Powiat mrągowski";105;
2811000;"Powiat nidzicki";102;
2812000;"Powiat nowomiejski";100;
2813000;"Powiat olecki";100;
2814000;"Powiat olsztyński";103;
2815000;"Powiat ostródzki";103;
2816000;"Powiat piski";101;
2817000;"Powiat szczycieński";102;
2818000;"Powiat gołdapski";102;
2819000;"Powiat węgorzewski";101;
2861000;"Powiat m.Elbląg";109;
2862000;"Powiat m.Olsztyn";115;
3000000;"WIELKOPOLSKIE";106;
3001000;"Powiat chodzieski";104;
3002000;"Powiat czarnkowsko-trzcianecki";101;
3003000;"Powiat gnieźnieński";105;
3004000;"Powiat gostyński";101;
3005000;"Powiat grodziski";102;
3006000;"Powiat jarociński";105;
3007000;"Powiat kaliski";103;
3008000;"Powiat kępiński";102;
3009000;"Powiat kolski";104;
3010000;"Powiat koniński";101;
3011000;"Powiat kościański";104;
3012000;"Powiat krotoszyński";104;
3013000;"Powiat leszczyński";101;
3014000;"Powiat międzychodzki";101;
3015000;"Powiat nowotomyski";104;
3016000;"Powiat obornicki";102;
3017000;"Powiat ostrowski";105;
3018000;"Powiat ostrzeszowski";103;
3019000;"Powiat pilski";105;
3020000;"Powiat pleszewski";102;
3021000;"Powiat poznański";106;
3022000;"Powiat rawicki";103;
3023000;"Powiat słupecki";101;
3024000;"Powiat szamotulski";104;
3025000;"Powiat średzki";103;
3026000;"Powiat śremski";104;
3027000;"Powiat turecki";105;
3028000;"Powiat wągrowiecki";102;
3029000;"Powiat wolsztyński";104;
3030000;"Powiat wrzesiński";105;
3031000;"Powiat złotowski";102;
3061000;"Powiat m.Kalisz";115;
3062000;"Powiat m.Konin";112;
3063000;"Powiat m.Leszno";110;
3064000;"Powiat m.Poznań";114;
3200000;"ZACHODNIOPOMORSKIE";106;
3201000;"Powiat białogardzki";103;
3202000;"Powiat choszczeński";101;
3203000;"Powiat drawski";104;
3204000;"Powiat goleniowski";103;
3205000;"Powiat gryficki";102;
3206000;"Powiat gryfiński";102;
3207000;"Powiat kamieński";105;
3208000;"Powiat kołobrzeski";109;
3209000;"Powiat koszaliński";100;
3210000;"Powiat myśliborski";104;
3211000;"Powiat policki";105;
3212000;"Powiat pyrzycki";100;
3213000;"Powiat sławieński";104;
3214000;"Powiat stargardzki";104;
3215000;"Powiat szczecinecki";106;
3216000;"Powiat świdwiński";103;
3217000;"Powiat wałecki";105;
3218000;"Powiat łobeski";101;
3261000;"Powiat m.Koszalin";113;
3262000;"Powiat m.Szczecin";111;
3263000;"Powiat m.Świnoujście";108;
