"","wojewodztwo_nazwa","powiat_nazwa","gmina_nazwa","zaszczepieni_pelna_dawka","przyrost_zaszczepionych_od_2021_08_01","liczba_ludnosci","zaszczepieni_pacjenci_jedna_dawka","zaszczepieni_pelna_dawka","grupa_wiekowa_12_19","grupa_wiekowa_20_39","grupa_wiekowa_40_59","grupa_wiekowa_60_69","grupa_wiekowa_70_plus"
"71","dolnośląskie","lubański","Siekierczyn (w)","2569","12.33","4516","2610","2569","144","656","855","489","489"
"72","dolnośląskie","lubański","Świeradów-Zdrój (m)","2347","13.22","3995","2397","2347","154","502","704","487","487"
"73","dolnośląskie","lubiński","Lubin (m)","41734","10.52","71710","42756","41734","2660","8658","12447","7918","7918"
"74","dolnośląskie","lubiński","Lubin (w)","8887","10.33","16521","9094","8887","595","2085","3521","1522","1522"
"75","dolnośląskie","lubiński","Rudna (w)","3796","10.48","7793","3918","3796","253","924","1317","738","738"
"76","dolnośląskie","lubiński","Ścinawa (m-w)","4934","11.51","9872","5078","4934","304","1110","1564","1079","1079"
"77","dolnośląskie","lwówecki","Gryfów Śląski (m-w)","5142","13.79","9561","5231","5142","302","1219","1556","999","999"
"78","dolnośląskie","lwówecki","Lubomierz (m-w)","2962","12.16","6177","3031","2962","180","733","923","634","634"
"79","dolnośląskie","lwówecki","Lwówek Śląski (m-w)","9750","13.81","17186","9942","9750","647","2319","2918","2017","2017"
"80","dolnośląskie","lwówecki","Mirsk (m-w)","4464","11.8","8461","4545","4464","237","1033","1312","958","958"
"81","dolnośląskie","lwówecki","Wleń (m-w)","2263","12.48","4214","2320","2263","126","503","697","523","523"
"82","dolnośląskie","milicki","Cieszków (w)","2502","13.59","4657","2540","2502","160","635","771","500","500"
"83","dolnośląskie","milicki","Krośnice (w)","4249","11.83","8093","4384","4249","314","1028","1424","805","805"
"84","dolnośląskie","milicki","Milicz (m-w)","14490","15.64","24050","14854","14490","1031","3616","4556","2522","2522"
"85","dolnośląskie","oleśnicki","Bierutów (m-w)","5453","14.2","9873","5578","5453","363","1353","1710","1052","1052"
"86","dolnośląskie","oleśnicki","Dobroszyce (w)","3885","12.72","6886","3978","3885","275","1020","1313","701","701"
"87","dolnośląskie","oleśnicki","Dziadowa Kłoda (w)","2220","13.31","4598","2272","2220","160","586","735","413","413"
"88","dolnośląskie","oleśnicki","Międzybórz (m-w)","2566","11.49","5100","2627","2566","165","681","811","464","464"
"89","dolnośląskie","oleśnicki","Oleśnica (m)","22937","11.4","36979","23375","22937","1542","5542","7227","3612","3612"
"90","dolnośląskie","oleśnicki","Oleśnica (w)","7544","11.19","14124","7731","7544","472","2136","2787","1233","1233"
"91","dolnośląskie","oleśnicki","Syców (m-w)","9310","11.09","16819","9514","9310","628","2330","2937","1682","1682"
"92","dolnośląskie","oleśnicki","Twardogóra (m-w)","6951","10.89","12889","7138","6951","392","1778","2328","1264","1264"
"93","dolnośląskie","oławski","Domaniów (w)","2871","10.72","5132","2928","2871","214","679","1004","494","494"
"94","dolnośląskie","oławski","Jelcz-Laskowice (m-w)","14330","14.27","23296","14659","14330","852","3969","4655","2761","2761"
"95","dolnośląskie","oławski","Oława (m)","20638","12.06","33087","21119","20638","1238","5196","6621","3077","3077"
"96","dolnośląskie","oławski","Oława (w)","7769","10.64","15218","7951","7769","573","1982","2787","1384","1384"
"97","dolnośląskie","polkowicki","Chocianów (m-w)","6285","11.57","12721","6439","6285","359","1524","2003","1323","1323"
"98","dolnośląskie","polkowicki","Gaworzyce (w)","1895","12.78","3959","1932","1895","128","468","627","377","377"
"99","dolnośląskie","polkowicki","Grębocice (w)","2810","12.51","5427","2852","2810","176","735","956","489","489"
"100","dolnośląskie","polkowicki","Polkowice (m-w)","14825","11.36","27704","15150","14825","1011","3676","5197","2255","2255"
"101","dolnośląskie","polkowicki","Przemków (m-w)","4189","11.46","8282","4274","4189","261","946","1342","906","906"
"102","dolnośląskie","polkowicki","Radwanice (w)","2563","11.4","4904","2643","2563","176","659","880","496","496"
"103","dolnośląskie","strzeliński","Borów (w)","3049","11.55","5238","3145","3049","205","746","1047","557","557"
"104","dolnośląskie","strzeliński","Kondratowice (w)","2256","11.55","4199","2296","2256","150","502","684","486","486"
"105","dolnośląskie","strzeliński","Przeworno (w)","2524","13.04","4717","2575","2524","174","579","735","549","549"
"106","dolnośląskie","strzeliński","Strzelin (m-w)","12920","11.21","22026","13215","12920","780","3111","4082","2493","2493"
"107","dolnośląskie","strzeliński","Wiązów (m-w)","3745","12.5","7041","3816","3745","249","922","1203","700","700"
"108","dolnośląskie","średzki","Kostomłoty (w)","3814","11.13","7109","3923","3814","258","977","1296","733","733"
"109","dolnośląskie","średzki","Malczyce (w)","3169","10.98","5881","3259","3169","207","780","1030","619","619"
"110","dolnośląskie","średzki","Miękinia (w)","10260","12.95","17615","10517","10260","825","2785","3781","1526","1526"
"111","dolnośląskie","średzki","Środa Śląska (m-w)","11597","14.23","19889","11980","11597","750","3063","3934","1996","1996"
"112","dolnośląskie","średzki","Udanin (w)","2697","12.01","5014","2756","2697","156","619","874","565","565"
"113","dolnośląskie","świdnicki","Dobromierz (w)","2550","10.28","5173","2594","2550","140","554","836","559","559"
"114","dolnośląskie","świdnicki","Jaworzyna Śląska (m-w)","5356","12.31","10222","5466","5356","320","1266","1738","1134","1134"
"115","dolnośląskie","świdnicki","Marcinowice (w)","3568","11.45","6522","3626","3568","243","881","1120","740","740"
"116","dolnośląskie","świdnicki","Strzegom (m-w)","14191","11.26","25499","14500","14191","795","3228","4640","2791","2791"
"117","dolnośląskie","świdnicki","Świdnica (m)","34439","12.35","56222","35141","34439","1976","7670","10257","6425","6425"
"118","dolnośląskie","świdnicki","Świdnica (w)","9113","11.83","17400","9296","9113","632","2230","3139","1760","1760"
"119","dolnośląskie","świdnicki","Świebodzice (m)","12479","10.86","22642","12775","12479","783","2649","3859","2454","2454"
"120","dolnośląskie","świdnicki","Żarów (m-w)","6795","14.36","12335","6911","6795","445","1678","2138","1355","1355"
"121","dolnośląskie","trzebnicki","Oborniki Śląskie (m-w)","12364","10.64","20287","12659","12364","855","2873","4087","2191","2191"
"122","dolnośląskie","trzebnicki","Prusice (m-w)","4980","13.26","9352","5093","4980","293","1377","1687","922","922"
"123","dolnośląskie","trzebnicki","Trzebnica (m-w)","14826","13.05","24442","15158","14826","1110","3871","4820","2468","2468"
"124","dolnośląskie","trzebnicki","Wisznia Mała (w)","6496","11.88","10624","6664","6496","513","1664","2289","1140","1140"
"125","dolnośląskie","trzebnicki","Zawonia (w)","3122","11.89","5913","3206","3122","212","813","1073","579","579"
"126","dolnośląskie","trzebnicki","Żmigród (m-w)","8090","11.56","14608","8232","8090","558","1955","2554","1564","1564"
"127","dolnośląskie","Wałbrzych","Wałbrzych (m)","63361","9.89","109971","64731","63361","3510","12750","18431","14078","14078"
"128","dolnośląskie","wałbrzyski","Boguszów-Gorce (m)","7860","9.9","15154","8025","7860","416","1677","2397","1722","1722"
"129","dolnośląskie","wałbrzyski","Czarny Bór (w)","2773","11.35","4882","2813","2773","198","680","907","531","531"
"130","dolnośląskie","wałbrzyski","Głuszyca (m-w)","4267","9.78","8505","4387","4267","222","854","1336","971","971"
"131","dolnośląskie","wałbrzyski","Jedlina-Zdrój (m)","2679","10.65","4789","2736","2679","166","569","808","535","535"
"132","dolnośląskie","wałbrzyski","Mieroszów (m-w)","3887","11.62","6586","3964","3887","281","805","1190","807","807"
"133","dolnośląskie","wałbrzyski","Stare Bogaczowice (w)","2338","10.01","4265","2386","2338","159","540","772","474","474"
"134","dolnośląskie","wałbrzyski","Szczawno-Zdrój (m)","3462","9.85","5534","3533","3462","206","682","1031","723","723"
"135","dolnośląskie","wałbrzyski","Walim (w)","2715","9.37","5392","2788","2715","178","571","874","590","590"
"136","dolnośląskie","wołowski","Brzeg Dolny (m-w)","8941","9.39","16093","9177","8941","515","2060","2846","1759","1759"
"137","dolnośląskie","wołowski","Wińsko (w)","4106","9.68","8212","4208","4106","216","1001","1315","813","813"
"138","dolnośląskie","wołowski","Wołów (m-w)","11672","9.81","22318","12009","11672","610","2757","3755","2369","2369"
"139","dolnośląskie","Wrocław","Wrocław (m)","470328","12.69","641928","480857","470328","26871","156260","132041","63943","63943"
"140","dolnośląskie","wrocławski","Czernica (w)","11068","11.47","17638","11297","11068","919","3114","4115","1437","1437"
"141","dolnośląskie","wrocławski","Długołęka (w)","23028","12.39","35144","23544","23028","1788","7043","8229","2891","2891"
"142","dolnośląskie","wrocławski","Jordanów Śląski (w)","1765","12.64","3197","1809","1765","131","451","580","345","345"
"143","dolnośląskie","wrocławski","Kąty Wrocławskie (m-w)","16652","13.36","26032","17139","16652","1370","4921","5954","2286","2286"
"144","dolnośląskie","wrocławski","Kobierzyce (w)","15629","15.98","22154","16079","15629","1451","4782","5793","1816","1816"
"145","dolnośląskie","wrocławski","Mietków (w)","2152","13.19","3737","2198","2152","123","523","692","435","435"
"146","dolnośląskie","wrocławski","Siechnice (m-w)","15818","13.11","24142","16286","15818","1224","5030","5524","2075","2075"
"147","dolnośląskie","wrocławski","Sobótka (m-w)","7231","11.56","12872","7425","7231","514","1651","2350","1340","1340"
"148","dolnośląskie","wrocławski","Żórawina (w)","7228","13.81","11406","7377","7228","578","2041","2591","1060","1060"
"149","dolnośląskie","ząbkowicki","Bardo (m-w)","2890","12.21","5210","2956","2890","149","753","896","567","567"
"150","dolnośląskie","ząbkowicki","Ciepłowody (w)","1431","11.76","2924","1475","1431","78","360","449","306","306"
"151","dolnośląskie","ząbkowicki","Kamieniec Ząbkowicki (m-w)","4140","11.46","8003","4234","4140","222","990","1307","893","893"
"152","dolnośląskie","ząbkowicki","Stoszowice (w)","2420","11.6","5360","2493","2420","106","572","776","557","557"
"153","dolnośląskie","ząbkowicki","Ząbkowice Śląskie (m-w)","11868","11.09","21405","12174","11868","663","2634","3688","2331","2331"
"154","dolnośląskie","ząbkowicki","Ziębice (m-w)","8717","11.56","16768","8886","8717","511","1918","2593","1774","1774"
"155","dolnośląskie","ząbkowicki","Złoty Stok (m-w)","2068","10.82","4410","2109","2068","95","411","614","476","476"
"156","dolnośląskie","zgorzelecki","Bogatynia (m-w)","11983","12.22","22633","12209","11983","670","2773","4080","2424","2424"
"157","dolnośląskie","zgorzelecki","Pieńsk (m-w)","4177","14.16","9025","4350","4177","250","988","1370","826","826"
"158","dolnośląskie","zgorzelecki","Sulików (w)","2916","14.96","6030","2972","2916","175","708","995","599","599"
"159","dolnośląskie","zgorzelecki","Węgliniec (m-w)","3867","11.27","8205","3983","3867","142","955","1207","849","849"
"160","dolnośląskie","zgorzelecki","Zawidów (m)","2346","15.83","4132","2376","2346","129","552","800","454","454"
"161","dolnośląskie","zgorzelecki","Zgorzelec (m)","17668","13.91","29810","18015","17668","923","3537","5389","3528","3528"
"162","dolnośląskie","zgorzelecki","Zgorzelec (w)","4321","15.82","8551","4402","4321","255","1092","1505","862","862"
"163","dolnośląskie","złotoryjski","Pielgrzymka (w)","2511","12.53","4509","2559","2511","193","644","765","518","518"
"164","dolnośląskie","złotoryjski","Świerzawa (m-w)","3706","12.09","7484","3824","3706","207","871","1130","827","827"
"165","dolnośląskie","złotoryjski","Wojcieszów (m)","2029","13.66","3572","2079","2029","137","435","656","420","420"
"166","dolnośląskie","złotoryjski","Zagrodno (w)","2984","12.35","5206","3031","2984","188","734","904","608","608"
"167","dolnośląskie","złotoryjski","Złotoryja (m)","8992","10.03","15273","9210","8992","583","1864","2735","1918","1918"
"168","dolnośląskie","złotoryjski","Złotoryja (w)","3789","11.64","6994","3879","3789","246","975","1230","758","758"
"169","dolnośląskie","żywieck","Bystrzyca Kłodzka (m-w)","9474","10.95","18607","9636","9474","462","1964","2784","2050","2050"
"170","kujawsko-pomorskie","aleksandrowski","Aleksandrów Kujawski (m)","7565","11.93","12058","7713","7565","565","1789","2266","1479","1479"
"171","kujawsko-pomorskie","aleksandrowski","Aleksandrów Kujawski (w)","6747","13.17","12015","6889","6747","526","1846","2303","1111","1111"
