wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
lubuskie;kroœnieñski;74782;0;27436;0;t0802;31960;0;60;0;15326;0
lubuskie;miêdzyrzecki;95019;9;35329;0;t0803;40777;0;772;0;18141;9
lubuskie;nowosolski;138012;13;47425;3;t0804;59957;0;449;0;30181;10
lubuskie;s³ubicki;61730;11;22203;1;t0805;25939;0;109;0;13479;10
lubuskie;strzelecko-drezdenecki;74359;8;26276;1;t0806;33618;2;179;0;14286;5
lubuskie;sulêciñski;48989;12;16629;1;t0807;21531;0;293;0;10536;11
lubuskie;œwiebodziñski;79232;0;28874;0;t0808;34095;0;94;0;16169;0
lubuskie;zielonogórski;124261;24;46383;4;t0809;54543;3;881;0;22454;17
lubuskie;¿agañski;107592;62;36585;10;t0810;45036;6;632;1;25339;45
lubuskie;¿arski;145626;20;53271;3;t0811;61753;2;234;0;30368;15
lubuskie;wschowski;41850;0;15343;0;t0812;17276;0;193;0;9038;0
lubuskie;Gorzów Wielkopolski;242925;42;83592;12;t0861;107057;3;625;0;51651;27
lubuskie;Zielona Góra;231792;104;83774;7;t0862;93407;6;519;0;54092;91
³ódzkie;be³chatowski;112811;0;39336;0;t1001;47046;0;446;0;25983;0
³ódzkie;kutnowski;132548;12;49802;1;t1002;53389;1;791;1;28566;9
³ódzkie;³aski;51231;0;19459;0;t1003;21181;0;122;0;10469;0
³ódzkie;³êczycki;75215;40;27574;11;t1004;32397;4;529;0;14715;25
³ódzkie;³owicki;123681;3;48345;0;t1005;52641;0;454;0;22241;3
³ódzkie;³ódzki wschodni;63647;10;20571;0;t1006;24599;1;372;0;18105;9
³ódzkie;opoczyñski;86954;1;31540;0;t1007;38115;1;443;0;16856;0
³ódzkie;pabianicki;169868;79;60212;11;t1008;66362;8;611;4;42683;56
³ódzkie;pajêczañski;42280;6;15196;0;t1009;18153;1;79;0;8852;5
³ódzkie;piotrkowski;73780;29;27257;11;t1010;31247;0;438;0;14838;18
³ódzkie;poddêbicki;52930;6;19990;1;t1011;22001;1;459;0;10480;4
³ódzkie;radomszczañski;130935;10;47894;1;t1012;53640;0;574;0;28827;9
³ódzkie;rawski;43602;0;15783;0;t1013;18339;0;426;0;9054;0
³ódzkie;sieradzki;146818;58;53135;1;t1014;62917;2;773;0;29993;55
³ódzkie;skierniewicki;32054;4;12636;1;t1015;14163;0;303;0;4952;3
³ódzkie;tomaszowski;151758;28;56970;1;t1016;64649;2;575;7;29564;18
³ódzkie;wieluñski;121401;13;46571;0;t1017;51860;0;769;0;22201;13
³ódzkie;wieruszowski;48425;12;17241;0;t1018;20708;1;153;0;10323;11
³ódzkie;zduñskowolski;74874;0;26606;0;t1019;30815;0;138;0;17315;0
³ódzkie;zgierski;199292;21;71095;4;t1020;80663;5;680;0;46854;12
³ódzkie;brzeziñski;47942;0;18830;0;t1021;20389;0;104;0;8619;0
³ódzkie;£ódŸ;1319773;325;481895;24;t1061;544577;29;8053;2;285248;270
³ódzkie;Piotrków Trybunalski;126407;45;44408;3;t1062;51606;2;610;0;29783;40
³ódzkie;Skierniewice;106480;3;39428;0;t1063;44804;1;907;0;21341;2
ma³opolskie;bocheñski;111860;11;40434;0;t1201;49310;0;216;0;21900;11
ma³opolskie;brzeski;97058;8;36320;2;t1202;41936;0;152;1;18650;5
ma³opolskie;chrzanowski;165087;20;58024;1;t1203;68101;4;427;0;38535;15
ma³opolskie;d¹browski;60249;18;23144;2;t1204;26130;5;201;1;10774;10
ma³opolskie;gorlicki;120233;1;45930;0;t1205;51850;1;220;0;22233;0
ma³opolskie;krakowski;243389;31;87465;1;t1206;98476;1;1986;0;55462;29
ma³opolskie;limanowski;126958;0;47730;0;t1207;57014;0;334;0;21880;0
ma³opolskie;miechowski;80001;8;31983;1;t1208;34613;0;107;0;13298;7
ma³opolskie;myœlenicki;147108;49;56102;0;t1209;64083;1;558;1;26365;47
ma³opolskie;nowos¹decki;178933;18;65674;6;t1210;80927;0;339;0;31993;12
ma³opolskie;nowotarski;182283;18;68053;1;t1211;81695;1;631;2;31904;14
ma³opolskie;olkuski;157637;40;57498;6;t1212;65927;3;368;0;33844;31
ma³opolskie;oœwiêcimski;182786;61;65081;9;t1213;72503;7;772;0;44430;45
ma³opolskie;proszowicki;61157;0;23867;0;t1214;26030;0;191;0;11069;0
ma³opolskie;suski;99564;9;37510;1;t1215;41232;1;336;0;20486;7
ma³opolskie;tarnowski;133023;4;50328;0;t1216;57299;0;582;0;24814;4
ma³opolskie;tatrzañski;51086;9;19230;0;t1217;21644;0;177;0;10035;9
ma³opolskie;wadowicki;179683;40;62686;0;t1218;76370;1;395;1;40232;38
ma³opolskie;wielicki;171956;26;59695;1;t1219;72055;5;438;0;39768;20
ma³opolskie;Kraków;1710531;752;629289;56;t1261;699931;47;5238;3;376073;646
