wojewodztwo;powiat;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
³ódzkie;be³chatowski;2;0;2;0.18;0;0.18;0;0;0;2;1;0;23;2;21;0;t1001;2022-05-12
³ódzkie;kutnowski;1;0;1;0.10;0;0.10;0;0;0;1;0;0;18;2;16;0;t1002;2022-05-12
³ódzkie;³aski;0;0;0;0;0;0;0;0;0;1;0;0;9;0;9;0;t1003;2022-05-12
³ódzkie;³êczycki;1;0;1;0.20;0;0.20;0;0;0;0;0;0;5;1;4;0;t1004;2022-05-12
³ódzkie;³owicki;1;0;1;0.13;0;0.13;0;0;0;1;0;0;15;1;14;0;t1005;2022-05-12
³ódzkie;³ódzki wschodni;0;0;0;0;0;0;0;0;0;0;0;0;23;0;23;0;t1006;2022-05-12
³ódzkie;opoczyñski;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;t1007;2022-05-12
³ódzkie;pabianicki;0;0;0;0;0;0;0;0;0;2;0;0;33;0;33;0;t1008;2022-05-12
³ódzkie;pajêczañski;1;0;1;0.20;0;0.20;0;0;0;2;0;0;10;1;9;0;t1009;2022-05-12
³ódzkie;piotrkowski;1;0;1;0.11;0;0.11;0;0;0;0;0;0;4;1;3;0;t1010;2022-05-12
³ódzkie;poddêbicki;1;0;1;0.24;0;0.24;0;0;0;2;0;0;5;1;4;0;t1011;2022-05-12
³ódzkie;radomszczañski;0;0;0;0;0;0;0;0;0;3;0;0;8;0;8;0;t1012;2022-05-12
³ódzkie;rawski;0;0;0;0;0;0;0;0;0;4;0;0;7;0;7;0;t1013;2022-05-12
³ódzkie;sieradzki;1;0;1;0.09;0;0.09;0;0;0;2;0;0;18;1;17;0;t1014;2022-05-12
³ódzkie;skierniewicki;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t1015;2022-05-12
³ódzkie;tomaszowski;2;0;2;0.17;0;0.17;0;0;0;4;0;0;12;2;10;0;t1016;2022-05-12
³ódzkie;wieluñski;0;0;0;0;0;0;0;0;0;2;0;0;28;0;28;0;t1017;2022-05-12
³ódzkie;wieruszowski;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t1018;2022-05-12
³ódzkie;zduñskowolski;0;0;0;0;0;0;0;0;0;3;0;0;19;1;18;0;t1019;2022-05-12
³ódzkie;zgierski;1;0;1;0.06;0;0.06;0;0;0;6;0;0;29;4;25;0;t1020;2022-05-12
³ódzkie;brzeziñski;0;0;0;0;0;0;0;0;0;0;0;0;17;0;17;0;t1021;2022-05-12
³ódzkie;£ódŸ;8;1;9;0.12;0.01;0.13;0;0;0;14;0;0;204;11;192;1;t1061;2022-05-12
³ódzkie;Piotrków Trybunalski;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;t1062;2022-05-12
³ódzkie;Skierniewice;1;0;1;0.21;0;0.21;0;0;0;0;0;0;6;1;5;0;t1063;2022-05-12
ma³opolskie;bocheñski;1;0;1;0.09;0;0.09;0;0;0;5;0;0;12;1;11;0;t1201;2022-05-12
ma³opolskie;brzeski;1;0;1;0.11;0;0.11;0;0;0;3;0;0;18;1;17;0;t1202;2022-05-12
